1/5/2024,1/7/2024,1/12/2024,1/13/2024,1/14/2024,1/15/2024,1/18/2024,1/19/2024,1/22/2024,1/26/2024
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
16.4,16.9,19.7,23.5,21.8,21.2,20,18.7,13.4,16.6
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
16.8,18.8,19.4,23.3,22.5,21.7,21.4,21.1,17,16.6
14.4,18.7,17.9,20.9,23.9,21.6,19.8,18.6,16.5,14.8
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
16.8,18.8,19.4,23.3,22.5,21.7,21.4,21.1,17,16.6
16.3,17.1,19.4,22.9,23.4,21.8,21.3,20.8,12.8,16.4
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
12.7,16.9,16.2,19.4,25.1,22.1,18.7,15.8,14.2,13
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
16.8,18.8,19.4,23.3,22.5,21.7,21.4,21.1,17,16.6
17,19.2,19.1,23.6,22.6,22,21.6,21.2,17.6,16.8
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
14.4,18.7,17.9,20.9,23.9,21.6,19.8,18.6,16.5,14.8
16.2,18.1,19.3,23.2,23.3,22.3,21.2,21.4,15.9,16.3
17,19.2,19.1,23.6,22.6,22,21.6,21.2,17.6,16.8
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2
17,19.2,19.1,23.6,22.6,22,21.6,21.2,17.6,16.8
16.1,16.7,19.3,23.6,24.9,23.1,21.6,21.5,13.1,16.2